customer_id,customer_name,customer_street,customer_city,customer_country,customer_postcode,customer_email,customer_contact,related_id
CUS4650508150,Guenna Aylett,5240 Parkside Terrace,Pantin,France,93691 CEDEX,gaylett0@dailymail.co.uk,217-966-5056,N/A
CUS4251676912,Hadria Valens-Smith,09 Corben Drive,Lab¨¨ge,France,31673 CEDEX,hvalenssmith1@google.com.hk,839-506-4158,N/A
CUS9267696068,Dar Benes,48123 Green Crossing,Abbeville,France,80146 CEDEX,dbenes2@stumbleupon.com,850-566-4513,N/A
CUS3712301669,Ron Wigfield,614 Eliot Trail,M¨¦ru,France,60116 CEDEX,rwigfield3@msu.edu,259-168-3070,CUS1713550946
CUS0510573673,Kariotta Cunio,385 Green Park,Carpentras,France,84204 CEDEX,kcunio4@oracle.com,265-180-7317,N/A
CUS1341801934,Olly Lindup,0 Forest Center,Strasbourg,France,67928 CEDEX 9,olindup5@infoseek.co.jp,917-496-2710,CUS6230833417
CUS5071448645,Min Prescote,2397 Iowa Court,_pernay,France,51209 CEDEX,mprescote6@smugmug.com,281-868-9123,CUS4743094178
CUS0663279968,Rupert Lievesley,4 New Castle Park,Saint-Marcellin,France,38164 CEDEX,rlievesley7@netvibes.com,316-130-3380,N/A
CUS8787145480,Roderick Campe,0567 Clemons Plaza,Cergy-Pontoise,France,95897 CEDEX,rcampe8@europa.eu,531-108-8678,N/A
CUS9969399977,Elaina Cardinale,40 Morningstar Crossing,Cashel,Ireland,E25,ecardinale9@cafepress.com,906-262-5028,N/A
CUS8565490017,Vikky MacKintosh,498 Holy Cross Drive,_pernay,France,51209 CEDEX,vmackintosha@walmart.com,294-979-4856,CUS7002152815
CUS8704494261,Laurena Sturr,434 Kings Center,Noyelles-sous-Lens,France,62247 CEDEX,lsturrb@china.com.cn,532-315-5306,N/A
CUS6282311217,Charmane Gegg,314 Barnett Road,Rathnew,Ireland,R35,cgeggc@europa.eu,581-368-6703,CUS7951920134
CUS2726733735,Gabriela Warsap,29 Lakewood Gardens Terrace,Vineuil,France,41355 CEDEX,gwarsapd@irs.gov,314-666-5987,N/A
CUS8509993262,Angelo Shelbourne,15315 Melody Way,Lille,France,59784 CEDEX 9,ashelbournee@pagesperso-orange.fr,451-808-8850,N/A
CUS4032403325,Randy MacFarlan,74 Sloan Road,Cannes,France,06403 CEDEX,rmacfarlanf@geocities.com,766-341-2934,CUS7115252505
CUS3559543533,Annmarie Capaldo,890 Pearson Way,Vallauris,France,06224 CEDEX,acapaldog@liveinternet.ru,402-751-1356,N/A
