Customer_id,Customer_name,Customer_address_street,Customer_address_city,Customer_address_country,Customer_address_postcode,customer_email,Customer_phoneNo,Related_id
CUS4650508150,Guenna Aylett,5240 Parkside Terrace,Pantin,France,93691 CEDEX,gaylett0@dailymail.co.uk,217-966-5056,N/A
CUS4251676912,Hadria Valens-Smith,09 Corben Drive,Labège,France,31673 CEDEX,hvalenssmith1@google.com.hk,839-506-4158,CUS5617097105
CUS9267696068,Dar Benes,48123 Green Crossing,Abbeville,France,80146 CEDEX,dbenes2@stumbleupon.com,850-566-4513,CUS3587428794
CUS3712301669,Ron Wigfield,614 Eliot Trail,Méru,France,60116 CEDEX,rwigfield3@msu.edu,259-168-3070,CUS2192393474
CUS0510573673,Kariotta Cunio,385 Green Park,Carpentras,France,84204 CEDEX,kcunio4@oracle.com,265-180-7317,N/A
CUS1341801934,Olly Lindup,0 Forest Center,Strasbourg,France,67928 CEDEX 9,olindup5@infoseek.co.jp,917-496-2710,N/A
CUS5071448645,Min Prescote,2397 Iowa Court,_pernay,France,51209 CEDEX,mprescote6@smugmug.com,281-868-9123,N/A
CUS0663279968,Rupert Lievesley,4 New Castle Park,Saint-Marcellin,France,38164 CEDEX,rlievesley7@netvibes.com,316-130-3380,N/A
CUS8787145480,Roderick Campe,0567 Clemons Plaza,Cergy-Pontoise,France,95897 CEDEX,rcampe8@europa.eu,531-108-8678,N/A
CUS9969399977,Elaina Cardinale,40 Morningstar Crossing,Cashel,Ireland,E25,ecardinale9@cafepress.com,906-262-5028,CUS2186219417
CUS8565490017,Vikky MacKintosh,498 Holy Cross Drive,_pernay,France,51209 CEDEX,vmackintosha@walmart.com,294-979-4856,N/A
CUS8704494261,Laurena Sturr,434 Kings Center,Noyelles-sous-Lens,France,62247 CEDEX,lsturrb@china.com.cn,532-315-5306,CUS2014708320
CUS6282311217,Charmane Gegg,314 Barnett Road,Rathnew,Ireland,R35,cgeggc@europa.eu,581-368-6703,N/A
CUS2726733735,Gabriela Warsap,29 Lakewood Gardens Terrace,Vineuil,France,41355 CEDEX,gwarsapd@irs.gov,314-666-5987,N/A
CUS8509993262,Angelo Shelbourne,15315 Melody Way,Lille,France,59784 CEDEX 9,ashelbournee@pagesperso-orange.fr,451-808-8850,N/A
CUS4032403325,Randy MacFarlan,74 Sloan Road,Cannes,France,06403 CEDEX,rmacfarlanf@geocities.com,766-341-2934,N/A
CUS3559543533,Annmarie Capaldo,890 Pearson Way,Vallauris,France,06224 CEDEX,acapaldog@liveinternet.ru,402-751-1356,N/A
CUS9137941305,Brittan Cretney,0497 Bobwhite Center,_tampes,France,91154 CEDEX,bcretneyh@sun.com,312-170-8120,CUS8607938576
CUS0544536401,David Castagna,025 Holmberg Street,Levallois-Perret,France,92592 CEDEX,dcastagnai@devhub.com,985-161-9594,N/A
CUS0131688952,Lia Marginson,48 Duke Point,Paris 01,France,75038 CEDEX 01,lmarginsonj@studiopress.com,838-786-1109,CUS6136461064
CUS1909475483,Coreen Luttger,8011 Memorial Parkway,Abbeville,France,80146 CEDEX,cluttgerk@sciencedirect.com,930-295-1421,N/A
CUS5622992699,Temple Heffernan,752 Warner Street,Rungis,France,94659 CEDEX 1,theffernanl@scribd.com,353-696-1739,N/A
CUS3086039701,Connie Gartan,250 Victoria Pass,Rijswijk,Netherlands,2284,cgartanm@engadget.com,758-768-3060,N/A
CUS7173648815,Piotr Ellerey,75391 Lerdahl Lane,Cernay,France,68704 CEDEX,pellereyn@foxnews.com,393-564-0197,N/A
CUS7254144612,Natalya Margrett,25236 International Lane,Remiremont,France,88204 CEDEX,nmargretto@seattletimes.com,202-340-3658,N/A
CUS7531899663,Maurise Mogridge,4 Bluestem Park,Caen,France,14040 CEDEX 4,mmogridgep@bloomberg.com,460-642-6740,N/A
CUS2738440495,Nissa Fearnyough,1 Loftsgordon Center,Carpentras,France,84204 CEDEX,nfearnyoughq@ucsd.edu,546-561-5257,CUS9939781350
CUS1796896772,Hastie Lawday,2131 Melvin Crossing,Marne-la-Vallée,France,77614 CEDEX 3,hlawdayr@dailymotion.com,590-653-4844,CUS5502201872
CUS8666880597,Wenona Seefeldt,8 Bartillon Park,Cergy-Pontoise,France,95304 CEDEX,wseefeldts@unc.edu,813-224-6166,N/A
CUS1960983865,Joshua Krollman,0 Kropf Terrace,Dijon,France,21019 CEDEX,jkrollmant@tamu.edu,464-231-6232,N/A
CUS6115978602,Winna Buxam,30 Southridge Terrace,Marcq-en-Bar_ul,France,59704 CEDEX,wbuxamu@eventbrite.com,697-253-9303,N/A
CUS7369563022,Irita Witcher,231 Upham Street,Chalon-sur-Saône,France,71332 CEDEX,iwitcherv@google.ru,482-400-2177,CUS8666880597
CUS7907991730,Blondie Dowse,28600 Kim Pass,Paris 18,France,75863 CEDEX 18,bdowsew@narod.ru,614-609-3961,CUS3834254967
CUS5073267176,Zorina Swaddle,22 Hagan Parkway,Metz,France,57751 CEDEX 9,zswaddlex@fda.gov,715-709-0519,CUS5482378098
CUS8661941563,Justinn Kennifeck,148 Gale Parkway,Nancy,France,54009 CEDEX,jkennifecky@umich.edu,171-519-2300,CUS6529473769
CUS8833486273,Aube Howsam,97509 Elmside Parkway,Agen,France,47020 CEDEX 9,ahowsamz@cargocollective.com,758-442-8456,N/A
CUS1921391375,Clarie Gavahan,10983 Judy Lane,Montpellier,France,34294 CEDEX 5,cgavahan10@cdc.gov,767-933-4447,N/A
CUS0778552063,Daron Filipiak,9769 Bay Crossing,Aix-en-Provence,France,13592 CEDEX 3,dfilipiak11@deviantart.com,608-754-8048,N/A
CUS2485623783,Lana Hatliffe,9973 Comanche Parkway,Montpellier,France,34064 CEDEX 2,lhatliffe12@fema.gov,906-955-5286,N/A
CUS8232142286,Emmett Le Quesne,5 Kingsford Crossing,Amiens,France,80004 CEDEX 1,ele13@naver.com,889-259-6124,N/A
CUS0869560840,Val Russam,80 Ramsey Circle,Haguenau,France,67504 CEDEX,vrussam14@ebay.com,618-375-4249,CUS8192585018
CUS5772154958,Brennen Llywarch,2471 Clove Crossing,Ballisodare,Ireland,E45,bllywarch15@free.fr,975-518-8355,N/A
CUS0702267945,Sayer Bage,4389 Elmside Court,Niort,France,79083 CEDEX 9,sbage16@netlog.com,580-878-3441,N/A
CUS2926891520,Cletus Fairs,58 North Lane,Navan,Ireland,D11,cfairs17@sitemeter.com,366-359-8847,N/A
CUS9958361728,Bert Bruhnsen,8741 Stuart Court,Avallon,France,89204 CEDEX,bbruhnsen18@dyndns.org,444-382-3617,N/A
